Date,January,February,March,April,May,June,July,August,September,October,November,December,Year
25,429730.0,269778.0,312458.0,434025.0,423559.0,200395.0,391672.0,435569.0,466916.0,454353.0,343579.0,195404.0,2006
26,415368.0,204030.0,200697.0,467758.0,426048.0,425835.0,431471.0,309154.0,418216.0,425630.0,222392.0,240444.0,2006
27,441678.0,411367.0,418526.0,403388.0,301161.0,420177.0,410479.0,193572.0,430233.0,448224.0,455237.0,419035.0,2006
28,319203.0,433976.0,424795.0,462681.0,199753.0,428600.0,426199.0,406131.0,49729.0,336278.0,438513.0,395535.0,2006
29,201921.0,0.0,423060.0,312296.0,429294.0,413533.0,289701.0,429102.0,0.0,199635.0,465245.0,409008.0,2006
30,433226.0,0.0,394666.0,205582.0,421618.0,452360.0,213110.0,413420.0,261047.0,384482.0,419567.0,247709.0,2006
31,455715.0,0.0,434396.0,0.0,436316.0,0.0,420130.0,440127.0,0.0,401947.0,0.0,162370.0,2006
1,141016.0,425837.0,447758.0,217333.0,250371.0,438295.0,223923.0,474485.0,352874.0,468797.0,179479.0,345771.0,2007
2,355995.0,445860.0,459860.0,442141.0,465980.0,348020.0,439244.0,446642.0,234110.0,472838.0,212462.0,243232.0,2007
3,441916.0,330610.0,333803.0,409467.0,434291.0,221653.0,466687.0,458676.0,465532.0,491047.0,259272.0,496474.0,2007
4,406497.0,229259.0,218108.0,422213.0,462583.0,466908.0,462464.0,350681.0,461112.0,468788.0,205352.0,482690.0,2007
5,451797.0,446062.0,455742.0,0.0,313651.0,440113.0,449491.0,221776.0,483251.0,509295.0,471545.0,492370.0,2007
6,334931.0,428688.0,449458.0,0.0,213947.0,460839.0,456021.0,433346.0,456344.0,358595.0,462239.0,479519.0,2007
7,210202.0,441164.0,442056.0,0.0,443924.0,439092.0,332307.0,422942.0,472623.0,221518.0,480443.0,515465.0,2007
8,456532.0,429153.0,403892.0,0.0,440405.0,462558.0,211337.0,386795.0,358774.0,467051.0,442617.0,379541.0,2007
9,457383.0,451803.0,430808.0,162362.0,444423.0,322605.0,456211.0,394393.0,237219.0,482364.0,497145.0,255788.0,2007
10,457303.0,351752.0,326279.0,440771.0,438792.0,205580.0,462615.0,479724.0,465109.0,491229.0,347919.0,494128.0,2007
11,418053.0,219034.0,210067.0,436744.0,452061.0,226956.0,449950.0,344032.0,461803.0,504885.0,214090.0,480506.0,2007
12,475193.0,449176.0,439124.0,432903.0,317147.0,297177.0,450160.0,209145.0,454712.0,305476.0,477646.0,503904.0,2007
13,345791.0,445510.0,433143.0,455015.0,194905.0,449270.0,471345.0,463609.0,467967.0,334171.0,468001.0,471378.0,2007
14,201173.0,460597.0,448524.0,317545.0,171083.0,451645.0,345175.0,448127.0,488785.0,225210.0,460041.0,521065.0,2007
15,453773.0,436259.0,446552.0,196366.0,417705.0,493010.0,241422.0,447536.0,348359.0,489825.0,455900.0,404692.0,2007
16,447462.0,460650.0,431691.0,452836.0,453152.0,347406.0,470989.0,432404.0,243159.0,482951.0,500095.0,310173.0,2007
17,472621.0,340218.0,334962.0,450928.0,434447.0,220527.0,446013.0,402908.0,461570.0,479566.0,377177.0,498905.0,2007
18,437873.0,217587.0,210757.0,447843.0,446836.0,465567.0,478461.0,278701.0,468045.0,481837.0,243035.0,501444.0,2007
19,455903.0,452588.0,438549.0,434225.0,316082.0,455748.0,433378.0,210439.0,445921.0,480873.0,476454.0,508929.0,2007
20,334262.0,434156.0,444269.0,453974.0,208308.0,468943.0,487276.0,262390.0,488196.0,332320.0,498772.0,464207.0,2007
21,214997.0,450079.0,448722.0,312972.0,444110.0,453383.0,345992.0,489903.0,475521.0,209535.0,477483.0,539813.0,2007
